# central values for couplings (calibrated 2.6 solar mass)
gs2:        104.608  
gw2:        167.469  
gp2:        201.212
kappa:      4.09443  
lambda:     -0.016101  
zeta:       0.00356977  
lambda_v:   0.0351514
ms:         504.97  
mw:         782.5  
mp:         763.0

# nuclear properties
#A,Z       B/A        Rch
16,8      -8.072     2.725
40,20     -8.575     3.457
48,20     -8.597     3.469
68,28     -8.661     3.868
90,40     -8.690     4.255
100,50    -8.313     4.433
116,50    -8.487     4.600
132,50    -8.283     4.700
144,62    -8.291     4.936
208,82    -7.837     5.499
