# nb        en       pr      r (km)    M          h        f
0.112352  106.794  1.95408  17.4853  0.25912  0.0303402  206.067
0.114911  109.273  2.07445  17.2192  0.269867  0.031434  215.19
0.117509  111.791  2.19875  16.9835  0.280686  0.0325373  224.045
0.120145  114.35  2.32818  16.7721  0.291657  0.0336595  232.715
0.122821  116.95  2.46329  16.5816  0.302805  0.034804  241.218
0.125536  119.592  2.60452  16.4085  0.314146  0.0359731  249.591
0.128291  122.275  2.7523  16.2511  0.325691  0.0371686  257.837
0.131086  125  2.90704  16.107  0.337452  0.0383922  265.982
0.133921  127.768  3.06919  15.975  0.349439  0.0396455  274.026
0.136797  130.58  3.23918  15.8533  0.361664  0.0409301  281.994
0.139713  133.435  3.4175  15.7411  0.374138  0.0422477  289.888
0.142671  136.334  3.60465  15.6374  0.386873  0.0435999  297.717
0.14567  139.278  3.80116  15.5411  0.399882  0.0449886  305.498
0.148711  142.267  4.00763  15.4517  0.41318  0.0464157  313.237
0.151794  145.301  4.22467  15.3681  0.426782  0.0478832  320.952
0.15492  148.382  4.45297  15.2904  0.440704  0.0493932  328.633
0.158087  151.51  4.69326  15.2175  0.454966  0.0509483  336.312
0.161298  154.685  4.94633  15.1495  0.469586  0.0525508  343.974
0.164552  157.908  5.21305  15.0855  0.484586  0.0542035  351.653
0.16785  161.179  5.49436  15.0255  0.49999  0.0559094  359.339
0.171191  164.5  5.79128  14.9688  0.515822  0.0576717  367.059
0.174576  167.871  6.10493  14.9156  0.532108  0.0594938  374.804
0.178006  171.292  6.43653  14.8657  0.54888  0.0613794  382.583
0.18148  174.764  6.7874  14.8185  0.566166  0.0633326  390.421
0.184999  178.288  7.15899  14.7742  0.584002  0.0653575  398.308
0.188564  181.865  7.55286  14.7322  0.602422  0.0674589  406.269
0.192173  185.495  7.97073  14.6927  0.621463  0.0696415  414.308
0.195829  189.179  8.41445  14.6555  0.641167  0.0719108  422.428
0.199531  192.919  8.88605  14.6206  0.661573  0.0742722  430.633
0.203279  196.714  9.3877  14.5878  0.682725  0.0767318  438.938
0.207073  200.566  9.92177  14.5571  0.704667  0.0792957  447.348
0.210915  204.477  10.4908  14.5285  0.727445  0.0819705  455.866
0.214804  208.446  11.0975  14.5016  0.751105  0.0847631  464.508
0.21874  212.475  11.7449  14.4768  0.775692  0.0876805  473.263
0.222724  216.565  12.436  14.4538  0.801249  0.0907302  482.147
0.226757  220.717  13.1742  14.4328  0.82782  0.0939195  491.144
0.230837  224.933  13.9629  14.4133  0.855442  0.0972559  500.285
0.234966  229.214  14.8059  14.3959  0.884152  0.100747  509.534
0.239145  233.561  15.7071  14.3802  0.913979  0.104401  518.903
0.243372  237.976  16.6704  14.3663  0.944943  0.108224  528.385
0.247649  242.46  17.7  14.3542  0.97706  0.112224  537.969
0.251976  247.015  18.8001  14.3436  1.01033  0.116407  547.661
0.256353  251.642  19.9751  14.3344  1.04476  0.120779  557.446
0.26078  256.344  21.2292  14.3271  1.08031  0.125346  567.291
0.265258  261.122  22.567  14.3209  1.11697  0.130113  577.209
0.269787  265.977  23.9926  14.3161  1.15468  0.135083  587.162
0.274367  270.913  25.5104  14.3126  1.19338  0.14026  597.144
0.278999  275.93  27.1244  14.3099  1.23301  0.145644  607.147
0.283683  281.032  28.8388  14.3082  1.27348  0.151238  617.144
0.288419  286.22  30.6573  14.307  1.31469  0.157041  627.128
0.293207  291.496  32.5836  14.3064  1.35653  0.163052  637.069
0.298048  296.863  34.6212  14.3064  1.3989  0.169268  646.941
0.302941  302.324  36.7732  14.3064  1.44166  0.175687  656.754
0.307889  307.88  39.0427  14.3064  1.48468  0.182303  666.482
0.312889  313.533  41.4324  14.3064  1.52785  0.189112  676.102
