#  M              R
3.063895577  15.43771277
3.070673048  15.47787162
3.077403861  15.51876028
3.084050607  15.56010299
3.090428814  15.59912251
3.097079279  15.64445393
3.103563286  15.67436624
3.109736506  15.73105928
3.115600953  15.76534871
3.121992206  15.81954381
3.127938966  15.86469029
3.134189632  15.88108239
3.139421058  15.95668596
3.144932527  16.00353019
3.150709599  16.05153374
3.15558362  16.08813223
3.161004852  16.11943101
3.165310622  16.19665306
3.169975889  16.24638768
3.174557822  16.29725147
3.178564943  16.34749525
3.182519416  16.39898569
3.186224766  16.45102106
3.189655446  16.50368148
3.192835912  16.55681701
3.195708274  16.61059807
3.198285425  16.66495063
3.20051718  16.71984978
3.202419281  16.77537445
3.203952165  16.82592892
3.204858562  16.88915209
3.205595284  16.94642916
3.205955812  17.00437946
3.205845204  17.06284495
3.205297123  17.12191043
3.20427314  17.18151011
3.202731209  17.24166554
3.200723176  17.29929343
3.19713045  17.3634973
3.194874163  17.42535371
3.191139632  17.48767213
3.186695172  17.55052005
3.181637679  17.61384515
3.175839583  17.67768784
3.169389901  17.74191028
3.162224899  17.80778966
3.154181293  17.87319985
3.145311861  17.9390727
3.135578724  18.00535941
3.124939218  18.07201517
3.113373088  18.13900492
3.100816441  18.20631827
3.087352257  18.2741602
3.072634698  18.34178266
3.057207947  18.41021554
3.040329251  18.47888645
3.022274011  18.54774976
3.003008168  18.61676288
2.982465945  18.68585326
2.960629445  18.75495449
2.937404883  18.82395096
2.912754566  18.89148832
2.886543594  18.9601928
2.858777988  19.02862309
2.829387096  19.09658931
2.798506007  19.16434213
2.765665435  19.2308197
2.693260293  19.35472599
2.65472234  19.41633826
2.614413739  19.47669056
2.57233814  19.53577597
2.529187635  19.58837178
2.484136252  19.6496494
2.437519031  19.70516697
2.39033825  19.76157999
2.341157586  19.81504156
2.290699228  19.86722212
2.238991309  19.91793702
2.186448959  19.97103336
2.131989182  20.01818301
2.076001175  20.06203326
2.015622922  20.09826475
1.957073037  20.09251193
1.895415496  20.16403558
1.835566174  20.19217015
1.77643709  20.22345228
1.71815569  20.25491077
1.662336884  20.28809963
1.605595916  20.31957981
1.548793961  20.35291816
1.489895052  20.37463622
1.431335262  20.39417057
1.37342783  20.41734307
1.319901591  20.44239424
1.269503172  20.46411007
1.220582093  20.49224676
1.17376228  20.51938302
1.125396825  20.54384823
1.076292312  20.57701207
1.031129598  20.60461604
0.9888269553  20.64877515
0.9492397817  20.6858313
0.9116672358  20.71952499
0.87368976  20.75593144
0.835895025  20.80185992
0.7999213226  20.86314406
0.7674177426  20.9173026
0.7366773626  20.9718523
0.7066301888  21.02391509
0.6760328993  21.07012852
0.645912135  21.17646976
0.6186779246  21.26349692
0.5937415222  21.34082201
0.5689083257  21.42295103
0.5434740548  21.52110987
0.5187590657  21.64865011
0.4959821909  21.78193719
0.4750345404  21.90510628
0.4536267113  22.04170227
0.4315333788  22.22620957
0.4113852462  22.41896719
0.3929397697  22.60548758
0.3739570304  22.82770722
0.3544773272  23.11859874
0.3371228084  23.4031062
0.3205852666  23.70275374
0.3027738787  24.12216939
