# nb        en       pr      r (km)    M          h        f
0.158087  150.792  2.06191  19.4093  0.137185  0.029271  128.205
0.161298  153.898  2.25535  17.9953  0.147053  0.0305229  148.685
0.164552  157.05  2.46419  16.8745  0.157868  0.031846  169.655
0.16785  160.249  2.68935  15.9779  0.169638  0.0332424  190.875
0.171191  163.495  2.9318  15.255  0.182375  0.0347146  212.145
0.174576  166.788  3.19255  14.6682  0.196091  0.0362647  233.309
0.178006  170.13  3.4727  14.1897  0.210799  0.0378953  254.237
0.18148  173.522  3.77338  13.7987  0.226512  0.0396091  274.823
0.184999  176.963  4.09585  13.4783  0.243245  0.0414087  295.01
0.188564  180.454  4.44139  13.2158  0.261014  0.043297  314.746
0.192173  183.997  4.81142  13.0014  0.279835  0.0452772  333.991
0.195829  187.593  5.20742  12.8265  0.299722  0.0473526  352.747
0.199531  191.241  5.631  12.6857  0.320693  0.0495265  370.973
0.203279  194.943  6.08386  12.5728  0.342764  0.0518027  388.7
0.207073  198.701  6.56784  12.4839  0.36595  0.054185  405.929
0.210915  202.513  7.08487  12.4154  0.390268  0.0566774  422.674
0.214804  206.383  7.63706  12.3646  0.415731  0.0592843  438.936
0.21874  210.31  8.22661  12.3286  0.442355  0.06201  454.759
0.222724  214.296  8.8559  12.3056  0.470151  0.0648594  470.146
0.226757  218.342  9.52744  12.2938  0.49913  0.0678372  485.117
0.230837  222.449  10.2439  12.2917  0.5293  0.0709483  499.69
0.234966  226.619  11.0081  12.2979  0.560666  0.074198  513.893
0.239145  230.851  11.8231  12.3112  0.593229  0.0775913  527.75
0.243372  235.149  12.6919  12.331  0.626987  0.0811336  541.253
0.247649  239.512  13.6178  12.3558  0.661931  0.0848301  554.457
0.251976  243.943  14.6043  12.3853  0.698048  0.0886859  567.348
0.256353  248.443  15.6549  12.4187  0.735318  0.0927061  579.951
0.26078  253.014  16.7732  12.4553  0.773712  0.0968954  592.278
0.265258  257.657  17.9631  12.4943  0.813196  0.101258  604.362
0.269787  262.373  19.2283  12.5356  0.853724  0.105799  616.179
0.274367  267.165  20.5727  12.5787  0.895245  0.110522  627.743
0.278999  272.035  22.0002  12.6227  0.937694  0.115429  639.097
0.283683  276.983  23.5148  12.6676  0.981002  0.120524  650.217
0.288419  282.013  25.1203  12.7131  1.02509  0.125809  661.103
0.293207  287.126  26.8206  12.7583  1.06986  0.131284  671.801
0.298048  292.324  28.6193  12.8035  1.11522  0.13695  682.267
0.302941  297.609  30.5202  12.8478  1.16107  0.142807  692.553
0.307889  302.983  32.5267  12.8915  1.20729  0.148854  702.615
0.312889  308.45  34.6421  12.934  1.25377  0.155089  712.485
0.317944  314.01  36.8697  12.9751  1.30039  0.161509  722.171
0.323052  319.666  39.2125  13.0146  1.34704  0.16811  731.659
0.328216  325.422  41.6732  13.0524  1.39359  0.174889  740.962
0.333433  331.278  44.2545  13.0882  1.43992  0.181841  750.096
0.338706  337.238  46.9587  13.1221  1.48592  0.18896  759.027
0.344034  343.303  49.7883  13.1537  1.53147  0.196241  767.799
0.349418  349.478  52.7451  13.1833  1.57648  0.203676  776.383
0.354858  355.763  55.8311  13.2104  1.62084  0.211261  784.803
0.360354  362.162  59.0482  13.2352  1.66446  0.218986  793.059
0.365906  368.678  62.3977  13.2577  1.70726  0.226847  801.152
0.371515  375.312  65.8814  13.2778  1.74917  0.234834  809.086
0.377181  382.068  69.5004  13.2955  1.79011  0.242942  816.864
0.382904  388.948  73.2562  13.3109  1.83003  0.251163  824.494
0.388685  395.956  77.1499  13.3238  1.86889  0.259489  831.982
0.394524  403.093  81.1827  13.3348  1.90663  0.267914  839.309
0.400421  410.362  85.3557  13.3433  1.94324  0.27643  846.512
0.406376  417.767  89.67  13.3498  1.97868  0.285032  853.572
0.412391  425.309  94.1265  13.354  2.01293  0.293712  860.529
0.418464  432.993  98.7264  13.3563  2.04599  0.302464  867.337
0.424597  440.82  103.471  13.3566  2.07785  0.311283  874.036
0.430789  448.793  108.36  13.3552  2.10852  0.320162  880.607
0.437041  456.915  113.396  13.3516  2.13798  0.329096  887.092
0.443353  465.19  118.58  13.3466  2.16627  0.338079  893.444
0.449726  473.619  123.912  13.3398  2.19338  0.347107  899.704
0.45616  482.206  129.394  13.3312  2.21933  0.356175  905.883
0.462655  490.953  135.027  13.3215  2.24415  0.365278  911.934
0.469211  499.865  140.812  13.3103  2.26785  0.374412  917.897
0.475828  508.942  146.749  13.2976  2.29046  0.383573  923.783
0.482508  518.189  152.842  13.2837  2.312  0.392757  929.572
0.48925  527.609  159.09  13.2686  2.3325  0.401961  935.274
0.496054  537.203  165.494  13.2524  2.35199  0.411181  940.901
0.502921  546.976  172.057  13.235  2.37049  0.420414  946.46
0.509852  556.93  178.78  13.2166  2.38804  0.429657  951.932
0.516845  567.069  185.664  13.1974  2.40466  0.438907  957.323
0.523903  577.395  192.71  13.1771  2.42038  0.448161  962.676
0.531024  587.912  199.92  13.1561  2.43523  0.457417  967.934
0.538209  598.622  207.295  13.1345  2.44924  0.466672  973.105
0.545459  609.528  214.837  13.1118  2.46243  0.475925  978.262
0.552774  620.635  222.548  13.0888  2.47484  0.485173  983.315
0.560154  631.944  230.428  13.0648  2.4865  0.494415  988.335
0.567599  643.459  238.48  13.0406  2.49742  0.503647  993.265
0.57511  655.184  246.705  13.0155  2.50765  0.51287  998.176
0.582687  667.121  255.105  12.9901  2.51719  0.52208  1003.01
0.590331  679.274  263.681  12.9641  2.52608  0.531276  1007.8
0.59804  691.646  272.436  12.9379  2.53435  0.540458  1012.53
0.605817  704.24  281.37  12.9113  2.54202  0.549623  1017.19
0.613661  717.06  290.486  12.8841  2.5491  0.558771  1021.83
0.621572  730.109  299.785  12.8569  2.55563  0.567899  1026.38
0.629551  743.39  309.269  12.8292  2.56163  0.577008  1030.92
0.637598  756.906  318.94  12.8011  2.56711  0.586095  1035.42
0.645713  770.661  328.8  12.7731  2.5721  0.59516  1039.84
0.653897  784.659  338.85  12.7447  2.57662  0.604203  1044.23
0.662149  798.903  349.092  12.7161  2.58068  0.613221  1048.59
0.670471  813.396  359.528  12.6874  2.58431  0.622214  1052.88
