#  M              R
3.062549104  15.06660441
3.068897905  15.1055353
3.075170413  15.14495343
3.081363116  15.18484974
3.087462031  15.22525965
3.093434567  15.26611391
3.099331098  15.30748275
3.105099268  15.34935727
3.110736611  15.39175559
3.116248171  15.43464105
3.12164236  15.47802009
3.126877463  15.52191072
3.131946433  15.56630045
3.135459841  15.59253332
3.141592244  15.65661815
3.146151251  15.70253828
3.150502019  15.74897064
3.154650148  15.79592609
3.158582368  15.84337622
3.162277016  15.8913487
3.165722467  15.93981414
3.168910938  15.98884938
3.171806461  16.03840171
3.174458259  16.08888336
3.176724616  16.13935458
3.178664739  16.19029222
3.18027611  16.24173511
3.181543795  16.29368662
3.18246222  16.346057
3.182874561  16.39883294
3.182908803  16.45198747
3.182690418  16.50547993
3.18206144  16.55934722
3.181207179  16.61292772
3.179685572  16.66815362
3.177401102  16.72332656
3.173983494  16.77899834
3.170826326  16.83495859
3.166560538  16.89133314
3.161644925  16.9480434
3.156156434  17.00502301
3.149961752  17.0622484
3.142731204  17.11970543
3.135137817  17.1777103
3.134419221  17.17497013
3.125580502  17.23250752
3.116105241  17.28883764
3.105310234  17.34549753
3.093279195  17.40252346
3.080106314  17.45828651
3.064136197  17.51384177
3.045717726  17.57284493
3.04124587  17.64132579
3.024156159  17.69591345
3.008016181  17.75374721
2.987941984  17.81261593
2.968445759  17.86776697
2.946007153  17.92446202
2.922289738  17.96171244
2.8979736  18.03062509
2.868424182  18.07316918
2.822168437  18.09779292
2.791015912  18.14430067
2.758734443  18.19100303
2.724710358  18.23813837
2.653262731  18.33029112
2.615676162  18.3785027
2.577401884  18.42593578
2.552163966  18.48299006
2.510539045  18.49807375
2.466171704  18.55062649
2.418812998  18.57867924
2.369516617  18.60251138
2.318982269  18.63012737
2.266670448  18.65184925
2.212886386  18.66947629
2.154626845  18.66949733
2.085898423  18.64332338
1.716447191  18.57498737
1.651088704  18.57149927
1.575544286  18.49576459
1.499307417  18.4329066
1.442303855  18.40648925
1.37848458  18.37196762
1.316061201  18.32227319
0.9937722278  17.97465565
0.9412783079  17.92182279
0.8639876409  17.83433129
0.8208470347  17.80679612
0.7732422721  17.76788349
0.5783831687  17.62492229
0.5249864439  17.62935732
0.4561214433  17.74817885
0.3826613047  18.03783241
0.3408645275  18.50876242
0.3186751467  18.5832879
